Sectores,Irradiancia
CUAUTEPEC,24.1
TICOMAN,35.2
HORMIGA,43.1
LA RAZA,47.1
LINDAVISTA,42.3
QUIROGA,38.8
CLAVERIA,43.1
CUITLAHUAC,39
TLATELOLCO,60.8
TEPEYAC,44.5
PRADERA,40.1
ARAGON,40.1
CUCHILLA,45.3
TACUBA,37.4
BUENAVISTA,60.8
CONSULADO,54.5
SOTELO,31.6
MORELOS,60.8
MOCTEZUMA,54.5
CONGRESO,55.6
MIXCALCO-HERALDO,50.2
CORREDOR-CENTRO,50.2
REVOLUCION-ALAMEDA,50.2
ANGEL-ZONA ROSA,50.2
POLANCO-CASTILLO,38.5
CHAPULTEPEC,31.6
TACUBAYA,33
ROMA,60.1
ASTURIAS,61.8
MERCED-BALBUENA,55.6
ZARAGOZA,60.8
ARENAL,60.8
PANTITLAN,50.7
TLACOTAL,47.9
IZTACCIHUATL,50.2
NATIVITAS,49.5
NARVARTE-ALAMOS,52.1
DEL VALLE,52.1
NAPOLES,52.1
PLATEROS,34.5
SANTA FE,20.6
EL YAQUI,11
CUAJIMALPA,7.19
ALPES,21.4
SAN ANGEL,42.4
COYOACAN,45
TAXQUENA,45
GRANJAS,52.3
ABASTO-REFORMA,43.7
SANTA CRUZ,43.7
OASIS,50.7
TEOTONGO,43.7
QUETZAL,42.3
TEZONCO,42.1
ESTRELLA,44
CULHUACAN,38.4
XOTEPINGO,36.9
UNIVERSIDAD,26.4
SAN JERONIMO,17.5
DINAMO,13.7
PADIERNA,15.5
FUENTE,10.9
HUIPULCO-HOSPITALES,10.9
COAPA,21.3
MIXQUIC,17
ZAPOTITLA,24.1
TEPEPAN,18.3
LA NORIA,12.2
MILPA ALTA,9.63
TECOMITL,4.52
CHURUBUSCO,49.5
PORTALES,52.1
