Sectores,Irradiancia
CUAUTEPEC,2.41E-05
TICOMAN,3.52E-05
HORMIGA,4.31E-05
LA RAZA,4.71E-05
LINDAVISTA,4.23E-05
QUIROGA,3.88E-05
CLAVERIA,4.31E-05
CUITLAHUAC,3.90E-05
TLATELOLCO,6.08E-05
TEPEYAC,4.45E-05
PRADERA,4.01E-05
ARAGON,4.01E-05
CUCHILLA,4.53E-05
TACUBA,3.74E-05
BUENAVISTA,6.08E-05
CONSULADO,5.45E-05
SOTELO,3.16E-05
MORELOS,6.08E-05
MOCTEZUMA,5.45E-05
CONGRESO,5.56E-05
MIXCALCO-HERALDO,5.02E-05
CORREDOR-CENTRO,5.02E-05
REVOLUCION-ALAMEDA,5.02E-05
ANGEL-ZONA ROSA,5.02E-05
POLANCO-CASTILLO,3.85E-05
CHAPULTEPEC,3.16E-05
TACUBAYA,3.30E-05
ROMA,6.01E-05
ASTURIAS,6.18E-05
MERCED-BALBUENA,5.56E-05
ZARAGOZA,6.08E-05
ARENAL,6.08E-05
PANTITLAN,5.07E-05
TLACOTAL,4.79E-05
IZTACCIHUATL,5.02E-05
NATIVITAS,4.95E-05
NARVARTE-ALAMOS,5.21E-05
DEL VALLE,5.21E-05
NAPOLES,5.21E-05
PLATEROS,3.45E-05
SANTA FE,2.06E-05
EL YAQUI,1.10E-05
CUAJIMALPA,7.19E-06
ALPES,2.14E-05
SAN ANGEL,4.24E-05
COYOACAN,4.50E-05
TAXQUENA,4.50E-05
GRANJAS,5.23E-05
ABASTO-REFORMA,4.37E-05
SANTA CRUZ,4.37E-05
OASIS,5.07E-05
TEOTONGO,4.37E-05
QUETZAL,4.23E-05
TEZONCO,4.21E-05
ESTRELLA,4.40E-05
CULHUACAN,3.84E-05
XOTEPINGO,3.69E-05
UNIVERSIDAD,2.64E-05
SAN JERONIMO,1.75E-05
DINAMO,1.37E-05
PADIERNA,1.55E-05
FUENTE,1.09E-05
HUIPULCO-HOSPITALES,1.09E-05
COAPA,2.13E-05
MIXQUIC,1.70E-05
ZAPOTITLA,2.41E-05
TEPEPAN,1.83E-05
LA NORIA,1.22E-05
MILPA ALTA,9.63E-06
TECOMITL,4.52E-06
CHURUBUSCO,4.95E-05
PORTALES,5.21E-05
